ID,MEMBER_ID,COMMENT
a2p1U000000RowfQAC,0011U00000rjFKdQAM,"I showed up for my appointment, but they had me double booked, so we didn't get to meet with the doctor for very long, and had an expedited visit. The doctor and staff were extremely friendly and apologized, and the office environment was very nice!"
a2p1U000000RqQqQAK,0011U00000riCSHQA2,"Staff was polite, courteous, and on time"
a2p1U000000RqXyQAK,0011U00000riTw7QAE,Overall care is great!  It's wonderful to be able to spend 45-60 minutes with the actual Dr.
a2p1U000000Rq1LQAS,0011U00000rhu8eQAA,Like the doctor and staff at this location. Easy to get any appointment.
a2p1U000000RpiuQAC,0011U00000rk4SHQAY,The convenience and the doctors
a2p3g000000KzuuAAC,0011U00000rirxUQAQ,They are very good about returning calls
a2p1U000000RpqKQAS,0011U00000risiJQAQ,I like the convenience of the location to my work and I like one provider who will keep track of all of my other providers etc.  I was sick and they were able to help me and had the PX right there so I didn't have to go to another place to fill my prescription.
a2p1U000000RtQEQA0,0011U00000rjB7TQAU,Appt ease Dr spends time Thorough Close to work
a2p3g000000oRofAAE,0011U00000rjLlvQAE,I WAS IN A LOT OF DISCOMFORT YESTERDAY AND APPRECIATED THE QUICK RESPONSE
a2p1U000000l8LBQAY,0011U00000ri5sIQAQ,Focus on preventative services.  My lipids panel was not included my fasting blood work.
a2p1U000000RqKhQAK,0011U00000rjm6mQAA,Not Sure
a2p3g000000LAfOAAW,0011U00000rjQabQAE,"It is a good set up if you can get it for free through the State, as I can. I was in need of a primary care doctor and wanted an actual doctor, not a nurse practitioner, and I was struggling to find one through my insurance company."
a2p3g000000oeYqAAI,0011U00000ri7RvQAI,I don't have enough experience with XYZ to make a recommendation yet.
a2p3g000000KzC1AAK,0011U00000rk2qDQAQ,no copay like my provider
a2p1U000000RtQRQA0,0011U00000rii6CQAQ,"Quick appointments, personalized care, low cost"
a2p1U000000RqR1QAK,0011U00000rjX9aQAE,"Great Customer Service by the Doctor, but a little delayed in getting test results back in a timely manner"
a2p3g000000qQgvAAE,0011U00000rii6MQAQ,The experience so far has been positive and less expensive than my prior insurance plan.
a2p4w000002NzYGAA0,0011U00000rjcbPQAQ,"Minimizes healthcare costs, convenient on site clinic, know and like the staff"
a2p3g000000qZqKAAU,0011U00000riUViQAM,a confirmation of appointment came at 2:27 and telling the appointment was at 3:00
a2p3g000000qhtWAAQ,0011U00000ri6QPQAY,ease of appt and time
a2p4w000001ptvbAAA,0011U00000rjkkSQAQ,"I wish the practice was affiliated with a hospital. Otherwise, it would be a 10!"
a2p4w000001pnTlAAI,0013g00000CxTSmAAN,Maybe not sure of service yet
a2p4w000002Jp51AAC,0011U00000rjzgKQAQ,I feel like my doctor spent the majority of my time trying to convince me these covid injections are safe and my reason for this visit had nothing to do with these injections. I will NEVER inject that poison into my body. My Creator made me perfectly and I have absolute zero fear about any virus.
a2p4w000002JyhTAAS,0011U00000ri30nQAA,Good program
